row_id,target_baseflow_collapse_14d,slice_low_baseline
76401863094816540,1,0
1104066606410941820,0,0
555150121935625955,0,1
1091365436322132570,0,0
809178200767579878,0,1
1020607145656626734,0,0
1111807568313143459,1,1
823795970826529418,0,0
683411905574467141,1,0
1105809388937443824,0,1
572245608249216334,0,1
565392355605118605,0,1
158335150779444781,0,0
738690061242448234,0,0
944636979235267497,0,0
68384644207401470,0,0
65250314010361578,0,0
836911117059141952,0,0
295073424955797530,1,0
1140158006189732699,0,0
950059928661379163,1,1
372357445675428302,1,1
217555496104099559,1,1
31661284609496869,1,1
983738928716220645,0,1
368187590076033847,0,0
336028648077238606,1,1
137926080846128433,0,0
687611424155626157,0,0
739788215413180589,1,1
858350994387364337,0,0
1078090411548645732,0,0
291445066911165650,0,0
621104580716658431,1,1
279499424746618157,0,1
930829044970692711,1,0
261162287325845469,0,0
1075696209956710254,0,1
905339065174826122,1,1
954814189511285819,1,1
450639747095068762,0,0
995751019100892206,1,1
1049447439497277821,1,0
568471680049723605,0,0
1102314234070191532,1,1
1012710055250089773,0,0
135436479739196036,1,1
642156433511865770,1,1
119925650046262641,1,1
658273014973366778,1,1
346556949299872198,0,0
106664566807591719,0,0
784085816717158066,1,1
392009958724931090,1,0
681835750910220486,0,0
935972979246915970,0,0
1076287815434054232,0,1
387252766569440702,0,0
1091631543348751596,0,0
470182087099028563,0,1
721916566554773288,0,0
1131417227926010917,0,0
873001662277726404,1,0
65051697051072660,1,1
482264414819129797,0,0
1112398713879197601,0,0
795500943156055420,1,1
888802734435316020,1,1
464441381301287349,1,1
202812900830069246,1,1
613864744635926897,1,1
782170632667083974,1,0
232500183096245604,0,1
761024728749545093,1,1
318343487534834923,0,0
888377114599804938,1,0
271731186779273490,1,1
998242253011875404,0,0
199292288940230625,1,0
205308447028508891,0,1
1069611008035410169,0,1
463009970136992050,1,1
339768297067929417,0,0
264078831863657832,1,1
231977531938295022,0,0
1150161641647729834,0,0
1007740503207637146,1,0
282330072854404170,1,1
794619025856678822,0,0
91986481597828795,0,0
538892512503534720,1,1
563355614510704780,0,0
895320127169097048,0,0
1066398699351478014,1,1
315457557731641845,0,1
637761801591365940,1,1
576082918846218110,0,1
110491173051151083,1,0
387846019682838086,0,0
1017544282639821989,1,0
302516213317222093,0,0
761664689032179409,0,1
922304542466718172,0,1
1003622133979708864,1,0
1125670862252331783,0,1
1033922556343247412,0,1
339330054777866681,0,0
33397179215754251,0,1
529495731575121353,0,0
818163761434872165,1,1
647472157930596823,1,1
587220901626028397,1,1
1101591955082501011,1,1
256431490270807582,1,1
790592396397018521,0,0
935353620951873562,0,1
1122463002964950301,1,1
1012384212193286264,1,0
264459055935032418,0,0
680369829435867264,1,1
167442605984434653,1,1
1079775005898497507,0,0
19515350396458172,0,0
559644419283678829,1,1
78811085603238032,1,0
789574105134032746,1,1
49390668658212042,1,0
443363059565225009,0,0
626022080351507850,1,1
342022208708712504,0,1
908351705741741638,0,0
200920676272852384,1,1
278192817746973573,1,1
382224905379562906,0,0
1149685293986854502,0,0
401810036761010632,1,0
441036717850899526,1,1
431440145414638627,0,0
1030775021147750085,1,1
1011459674747718706,0,0
586282433429292858,0,0
30445972897952586,0,0
431041928007740942,1,1
356049074915749432,1,0
277937482041069753,1,0
985884744066570971,0,1
1004369773047484760,0,1
393779928744348127,0,1
439820623720029940,1,1
1072372557655077006,0,0
813152020883805303,0,0
891084334982273421,1,1
678430692947260118,1,0
875989822536683509,0,1
1044562770105016120,1,1
809814353419352885,0,1
326337625479718989,0,0
1087036081170147740,0,0
737735137327103400,0,0
688555924286222695,1,1
677515361542953028,1,1
988923145778136966,0,1
538053862585469027,1,1
986964172797500690,1,0
82101642369618594,0,0
173268731171314586,1,1
150340567432300196,0,0
1062701239927103873,1,1
1080049737696678956,0,1
1063592664107906427,1,1
700991970088011956,1,0
192492745571196251,1,1
430189649422942994,1,0
745050800091906382,1,1
1032779924088237688,0,0
948891318884381364,0,1
75556691835516724,0,0
1003470793341678277,0,0
293181671458853226,1,1
1055671340721053046,0,0
573750135544074822,0,1
894349991898736507,1,1
896172590164618180,0,0
808941267438792197,1,1
44297728355638130,0,0
803672524411719341,1,1
849925146245653187,1,1
496436944465018889,1,1
884981638179768,1,0
100538063201094547,1,1
106042459133250980,1,1
1131179797285118186,1,0
893986181633314595,0,0
829406721151986477,1,1
62692221650397995,0,0
674558308352214890,0,0
1070613078930535669,1,1
599383464881516069,0,0
776596035890062979,0,0
1052797985546893000,0,0
234883539288281724,0,1
1056261029119704097,0,1
478240129603639872,1,1
408096013981499881,0,1
651536349480029865,1,0
956781560758786248,1,0
1002585224118578247,1,1
391580033607279073,0,1
189618420546863172,1,1
1143857427019349878,0,1
177824082752132849,0,0
427703187628641103,0,0
779923149508260053,0,0
1046037825418329565,1,1
941875261149384730,0,0
526035519360192911,0,0
320590970542527533,0,1
818890834244392540,0,1
112368944592448819,1,1
303381344166430595,1,1
1015584034454047484,1,1
539380628989923342,1,1
1148134212429546335,0,1
834862594103195756,0,0
370735005329220935,1,0
629633124079790934,1,1
922305781315275753,0,0
591553248646847891,0,0
350914936171260508,0,0
847954604227529195,0,0
509050219698787451,0,1
690545904217575010,1,1
1053343943979242017,1,0
245046076514435920,1,1
1118420487900579493,0,0
492303161637895411,0,0
102597156701136738,0,0
125559750484162336,0,0
486505319796973286,0,0
874168895724575379,1,0
315037019399421984,0,0
1039296399703183494,0,0
853326782864492651,0,0
861735938835397447,0,0
308005749897690628,1,1
516128487688020661,1,1
801265471636515688,0,0
913713762603498135,0,0
285461952846718591,0,0
41889323550638602,0,0
491760764207193415,0,0
1055009800531755947,0,0
745596077600833009,1,1
276647063412473951,1,0
560169036987778050,1,1
48415542426435336,1,1
735330804222397174,0,0
152892083456231619,1,1
966255891087270357,1,1
1126484013533867989,1,1
161294442234967837,0,0
391849138093483818,1,1
465908347357123819,0,1
710842510018607936,1,1
1022909638136837837,0,0
816910723282114215,1,0
528661139786390768,1,1
742129081116928214,1,1
15115800868264559,0,1
342765613195334365,1,0
1030122022132686916,0,0
248097469359173349,0,0
247757298716107212,0,0
513306716220922332,0,1
756021121726730577,1,0
66891772705263477,0,0
594115482921243063,1,1
11310249499810210,0,0
728251816646315237,0,1
319084086664796338,0,0
757958861692926685,1,1
1061498950898858244,1,0
889180488007165127,1,0
475771188504977918,0,1
1117719192650320140,0,0
179155791702654316,0,1
574320881673317537,0,0
69900443671299454,0,0
516805776627568116,0,0
423023326644282436,0,0
890749793624908775,0,0
638430951304716636,1,0
482600487365924308,0,1
1098836634689047625,1,1
199920833477124828,0,1
296058554550902816,1,1
246448676911758872,0,0
428811747606421658,0,0
982134172793256105,0,0
164541834241803867,0,0
481314418674638161,0,0
311196867505820010,0,0
1151006707810777087,1,1
934758069008698233,1,0
86604637083773197,1,1
598271083984676068,1,1
1077572720077875284,1,1
594732669120627023,0,0
385621918798006980,1,1
525099012064436032,0,1
1029460478134375868,1,1
398674028902891274,0,1
186174245226780002,0,0
752873765779404469,0,1
411803771400151324,0,0
250300891352224562,0,0
173103054770755858,0,1
379674851465203179,1,1
881216066227141535,1,1
886523364095758585,1,1
1073872857067693127,1,1
1009663210617390233,1,1
593861222135802759,1,1
293842586945038736,1,0
1104561730696236442,0,0
531796659414531105,1,1
67772990123490734,0,1
589671274496838543,1,1
70944875008348699,0,0
916866071119693575,0,1
66411985495588480,1,0
1123569126932631377,0,1
499900482017610329,1,1
324167202810820752,1,1
753801233540612301,1,1
423620970324191697,0,0
36642783726936624,1,1
826458615364229192,0,0
433216877690837453,0,0
542700808383355079,0,0
239674870036810803,1,1
1144530711011688356,0,0
583561690891936994,0,0
394123488789513951,0,1
800070038331792951,1,0
728755578375687983,0,0
415254929487816092,0,1
177594790571938559,0,0
238376858558815919,0,0
328552448549512099,1,0
43315042520796201,1,0
17349168701034376,0,1
1011826861437857693,0,1
333028486811070096,0,1
58838062923782955,0,1
103931419522648396,1,0
1009337134465741474,1,1
133706032293385995,0,0
7721550659940424,1,1
728795485435408042,1,1
973933892284835726,1,1
885159024510181713,0,1
656429906904748699,1,0
111063828218443695,1,1
908780234845987828,1,1
381811969556881769,0,0
1145805555550163544,0,0
318458457367647001,0,1
989958149768433385,0,1
12717835549287122,0,0
1110637548283657570,0,0
501815228039374807,0,0
638236518885350849,1,0
950185170403750319,0,1
1057506279476024900,0,0
95320839006267212,1,0
519235323148750015,0,0
1123448743646778145,1,0
223104393257150391,0,1
674668030059337933,0,0
1022125089414339039,0,0
328170674415700119,1,1
420237469171548174,0,0
92100060581284216,0,0
172696995959956548,0,0
583186951093275965,0,1
418121650499763331,1,0
678090844585036621,0,0
82727641638452953,0,0
565264240603464541,1,1
6108265994659379,0,0
1135303220066395843,0,1
