row_id,station_token,event_era,season_bin,month,dow,is_weekend,slice_low_baseline,missing_count,q_1d_bin,q_mean_7d_bin,q_mean_30d_bin,q_std_30d_bin,q_min_30d_bin,q_max_30d_bin,q_mean_90d_bin,q_missing_30d_bin,logq_1d_bin,logq_mean_30d_bin,cv_30d_bin,range_30d_bin,ddown_30d_bin,target_baseflow_collapse_14d
110884418941371340,df7628a2379b,0,Q3,8,0,0,0,0,0,0,2,3,0,3,2,0,0,2,11,11,0,1
1125011525346702010,df7628a2379b,2,Q3,8,2,0,0,0,0,0,2,3,0,3,2,0,0,2,11,11,0,1
622994560527941792,ec691497ec28,2,Q1,2,5,1,1,0,8,8,9,8,7,8,9,0,8,9,1,1,4,0
7776958932615832,ae58d21b0db5,1,Q2,4,0,0,0,0,3,2,4,4,3,3,4,0,3,4,7,7,3,1
752823678042516626,75ed4952b7fc,1,Q3,7,5,1,0,0,7,7,8,9,6,9,8,0,7,8,8,9,0,0
243529511200417490,fd98e5d506f4,2,Q1,2,3,0,1,0,4,2,4,4,1,5,3,0,4,4,10,10,8,1
574005284621258292,88c5daebbe7a,1,Q3,8,3,0,1,0,2,5,6,5,3,5,5,0,2,6,7,7,0,1
550804708700658065,5a95829744b6,1,Q2,5,3,0,0,0,6,7,8,9,4,8,8,0,6,8,7,6,4,1
1055730400772464982,ae58d21b0db5,1,Q3,9,0,0,0,0,4,3,4,3,3,3,3,0,4,4,6,6,8,0
503736691467442223,95b9d4fe1271,1,Q1,1,3,0,0,0,5,7,5,8,3,8,4,0,5,5,11,11,8,0
805029559236926764,748d7819e37e,0,Q4,12,6,1,0,0,7,4,3,7,2,7,3,0,7,3,11,11,9,0
237157755534098811,748d7819e37e,1,Q1,2,6,1,0,0,2,1,3,2,2,2,3,0,2,3,6,6,1,0
846436866411109814,609de232a4d4,1,Q3,8,3,0,0,0,6,5,6,5,5,6,6,0,6,6,5,4,7,0
32030244394004225,ef34da8c2c0d,2,Q4,11,6,1,0,0,3,3,5,4,3,4,5,0,3,5,7,7,3,1
607358305469814407,72e6d542f7e1,1,Q4,10,0,0,0,0,10,10,11,11,9,11,11,0,10,11,2,2,1,0
201386992656724251,95b9d4fe1271,1,Q2,6,6,1,0,0,2,1,2,2,2,2,3,0,2,2,3,3,1,1
772456342487564200,25827051ce85,2,Q4,11,0,0,0,0,10,10,11,11,9,11,11,0,10,11,3,3,3,1
905715325114671064,406ae854b991,0,Q4,12,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
810780785537865690,7d9cf5e9ab13,1,Q4,12,6,1,0,0,6,6,7,7,6,7,7,0,6,7,4,5,5,0
223810548211859027,72e6d542f7e1,0,Q3,9,5,1,0,0,10,10,11,10,9,11,11,0,10,11,2,2,3,0
658060831345700665,5a95829744b6,0,Q4,12,5,1,1,0,6,6,7,7,5,7,8,0,6,7,5,5,5,1
1067691212474464282,df7628a2379b,2,Q4,11,4,0,0,0,0,1,2,3,0,2,2,0,0,2,10,10,0,1
145327478137002448,d2a09753fb88,0,Q4,12,2,0,0,0,4,4,5,6,2,6,5,0,4,5,8,8,5,1
725505327407226473,fd98e5d506f4,1,Q1,3,4,0,0,0,4,4,4,4,2,4,4,0,4,4,7,8,8,0
1004860657612152640,72e6d542f7e1,2,Q2,6,0,0,0,0,10,10,11,10,9,11,11,0,10,11,1,1,1,0
617379695162307835,75ed4952b7fc,1,Q2,5,5,1,0,0,7,7,10,11,7,10,9,0,7,10,10,10,0,0
599381504328487278,ef34da8c2c0d,1,Q1,1,0,0,1,0,1,2,3,4,1,4,4,0,1,3,10,10,0,1
375967409458584014,95b9d4fe1271,1,Q4,10,2,0,1,0,1,1,2,1,2,1,1,0,1,2,1,1,3,0
390939678195233734,748d7819e37e,2,Q3,8,6,1,0,0,0,0,3,7,0,7,2,0,0,3,11,11,0,0
470719811463646532,de2e1a39a06a,0,Q3,8,0,0,1,0,6,6,7,7,6,8,8,0,6,7,6,7,1,1
659477757282516761,75ed4952b7fc,0,Q1,2,0,0,0,1,9,9,10,10,7,10,-1,0,9,10,10,10,6,0
634391435993251067,95b9d4fe1271,1,Q3,9,5,1,0,0,2,1,4,8,2,7,3,0,2,4,11,11,1,0
431863034530309353,89606b98d91b,0,Q3,8,5,1,0,0,9,9,10,10,8,10,10,0,9,10,2,3,1,0
410498223182703935,54bdd761dc96,1,Q3,7,6,1,0,0,7,7,8,7,7,8,8,0,7,8,1,1,3,0
817347316702632382,44451e6362f6,1,Q1,2,3,0,0,0,5,5,6,3,5,5,6,0,5,6,2,3,5,0
1127052491078081820,609de232a4d4,2,Q4,11,2,0,1,0,5,4,5,5,4,5,5,0,5,5,7,7,8,1
553385869733720523,75ed4952b7fc,2,Q3,7,4,0,0,0,7,7,8,9,6,8,8,0,7,8,7,6,0,0
311897247327940503,5a95829744b6,1,Q4,12,1,0,1,0,6,5,7,7,4,7,7,0,6,7,8,8,8,1
976215380582925206,5a95829744b6,2,Q4,10,3,0,0,0,7,7,8,8,5,8,7,0,7,8,5,6,8,0
